2026-sl4655|27AUG2026|Notice Under the Legislation Act 2019
2026-go4860|26AUG2026|Notice of Direction to Appoint a Limited Statutory Manager for the Te Whirika Sara Cohen Specialist School (3816) Board
2026-sl4852|26AUG2026|Notice of Making of Land Transport Rule: Traffic Control Devices Amendment 2026
2026-ln4845|26AUG2026|Road Stopped—38 Norrie Avenue, Raglan, Waikato District
2026-gs4841|26AUG2026|Notice of Extension of Local Transition Period
2026-ln4825|26AUG2026|Land Declared Road—16B Youngson Road, Whakamarama , Western Bay of Plenty District
2026-ln4872|26AUG2026|Revocation of the Reservation Over a Reserve and Specifying the Manner of Disposal
2026-sl4844|26AUG2026|Registered Bank Disclosure Statements (New Zealand Incorporated Registered Banks) Order 2014 Amendment Order 2026
2026-ln4864|26AUG2026|Land Acquired and Declared Road, and Land Acquired for Use in Connection with a Road (Segregation Strip)—State Highway 1, Foxton: Whirokino Trestle and Manawatu River Bridge Project
2026-ln4866|26AUG2026|Land Acquired and Declared Road, Land Acquired for Use in Connection with a Road (Segregation Strip), and Road to be Stopped and Amalgamated— Whirokino Trestle and Manawatu River Bridge, State Highway 1, Foxton, Wellington Land District
2026-go4859|26AUG2026|Notice of Direction to Appoint a Limited Statutory Manager for the Maraenui Bilingual School (2604) Board
2026-sl4814|26AUG2026|Cancellation of Licence for an Early Childhood Service
2026-ln4840|26AUG2026|Road Stopped and Amalgamated—1411 Marokopa Road, Marokopa , Waitomo District
2026-ln4855|26AUG2026|Road Realignment—Horse Flat Road, Macraes, Waitaki District
2026-sl4827|25AUG2026|Notice of the Electricity Industry Participation Code (Improving Prudential Security Arrangements) Amendment 2026
2026-sl4826|25AUG2026|Notice of the Electricity Industry Participation Code (Improving Electricity Billing Amendment 2026) Amendment 2026
2026-go4820|25AUG2026|Variation of a Scheduled International Air Service Licence
2026-ln4680|25AUG2026|Declaring Land to be Held for Conservation Purposes
2026-ln4818|25AUG2026|Land Declared Road—67 New Renwick Road, Blenheim, Marlborough District
2026-go4811|25AUG2026|Justices of the Peace (Retired)
2026-sl4649|25AUG2026|Notification of Fibre Input Methodologies (IM Review) Amendment Determination 2026
2026-ln4803|24AUG2026|Disposal of Stewardship Area
2026-go4801|24AUG2026|Notice of Application to Vary the Conditions of a Registered Trade Name Product (Notice No. MPI ACVM 131)
2026-go4781|24AUG2026|Tariff Concession Approvals, Withdrawals and Declines Notice (No. 23) 2026
